entity,time,equation,original_index,error_terms
19,8,level,274,{8: 1.0}
19,9,level,275,{9: 1.0}
19,10,level,276,{10: 1.0}
19,11,level,277,{11: 1.0}
19,12,level,278,{12: 1.0}
19,13,level,279,{13: 1.0}
20,2,diff,282,"{2: 1.0, 1: -1.0}"
20,3,diff,283,"{3: 1.0, 2: -1.0}"
20,4,diff,284,"{4: 1.0, 3: -1.0}"
20,5,diff,285,"{5: 1.0, 4: -1.0}"
20,6,diff,286,"{6: 1.0, 5: -1.0}"
20,7,diff,287,"{7: 1.0, 6: -1.0}"
20,8,diff,288,"{8: 1.0, 7: -1.0}"
20,9,diff,289,"{9: 1.0, 8: -1.0}"
20,10,diff,290,"{10: 1.0, 9: -1.0}"
20,11,diff,291,"{11: 1.0, 10: -1.0}"
20,12,diff,292,"{12: 1.0, 11: -1.0}"
20,13,diff,293,"{13: 1.0, 12: -1.0}"
20,1,level,281,{1: 1.0}
20,2,level,282,{2: 1.0}
20,3,level,283,{3: 1.0}
20,4,level,284,{4: 1.0}
20,5,level,285,{5: 1.0}
20,6,level,286,{6: 1.0}
20,7,level,287,{7: 1.0}
20,8,level,288,{8: 1.0}
20,9,level,289,{9: 1.0}
20,10,level,290,{10: 1.0}
20,11,level,291,{11: 1.0}
20,12,level,292,{12: 1.0}
20,13,level,293,{13: 1.0}
21,2,diff,296,"{2: 1.0, 1: -1.0}"
21,3,diff,297,"{3: 1.0, 2: -1.0}"
21,4,diff,298,"{4: 1.0, 3: -1.0}"
21,5,diff,299,"{5: 1.0, 4: -1.0}"
21,6,diff,300,"{6: 1.0, 5: -1.0}"
21,7,diff,301,"{7: 1.0, 6: -1.0}"
21,8,diff,302,"{8: 1.0, 7: -1.0}"
21,9,diff,303,"{9: 1.0, 8: -1.0}"
21,10,diff,304,"{10: 1.0, 9: -1.0}"
21,11,diff,305,"{11: 1.0, 10: -1.0}"
21,12,diff,306,"{12: 1.0, 11: -1.0}"
21,13,diff,307,"{13: 1.0, 12: -1.0}"
21,1,level,295,{1: 1.0}
21,2,level,296,{2: 1.0}
21,3,level,297,{3: 1.0}
21,4,level,298,{4: 1.0}
21,5,level,299,{5: 1.0}
21,6,level,300,{6: 1.0}
21,7,level,301,{7: 1.0}
21,8,level,302,{8: 1.0}
21,9,level,303,{9: 1.0}
21,10,level,304,{10: 1.0}
21,11,level,305,{11: 1.0}
21,12,level,306,{12: 1.0}
21,13,level,307,{13: 1.0}
22,2,diff,310,"{2: 1.0, 1: -1.0}"
22,3,diff,311,"{3: 1.0, 2: -1.0}"
